input_dim,width,records,min_removed_support,median_cluster_diameter,max_cluster_diameter,median_positive_increment,max_positive_increment,max_increment_to_bound,positive_jitter_fraction,median_jitter
1,16,60,4,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0
1,32,60,4,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0
1,64,60,4,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0
1,128,60,4,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0
2,16,60,4,0.07806546348070674,0.22470679653328926,6.26833258061555e-05,0.0014707650060499441,0.019622970664623155,1.0,0.0390625
2,32,60,4,0.0013550363694796058,0.02362762922198102,0.0,2.9367777270347672e-05,0.0031809711641172236,1.0,0.05859375
2,64,60,4,0.00011358074779618555,0.001019787178305453,0.0,2.535320839242017e-07,0.001208207106583397,1.0,0.0625
2,128,60,4,1.8630776716035757e-05,0.00017230043636475386,2.4340949741907814e-10,1.8043211553325778e-08,0.000680348683779134,1.0,0.0625
4,16,60,4,0.2357642987056292,0.9640067478321445,0.0017447898146635285,0.013667565358487585,0.03959055789682016,1.0,0.109375
4,32,60,4,0.18424582078415708,0.2950937294901404,0.0001030113110853945,0.002067630559043186,0.016954689093887792,1.0,0.15625
4,64,60,4,0.17135074985402765,0.24017790042860368,4.91541557046532e-05,0.0002762841795546384,0.0032290642797560185,1.0,0.21875
4,128,60,4,0.10856501020255438,0.16473788221922697,3.580840026716145e-06,8.430591646240229e-05,0.0013009250120472376,1.0,0.21875
