dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher_binary,1,0,8,0,4,7,1,7,2.0,0.5961500268407957,0.6786305544548462,0.08248052761405056,0.08248052761405056,4.830082872507438,True
ridge_teacher_binary,1,0,8,1,4,7,1,7,2.0,0.596150019921962,0.6786593147999276,0.08250929487796554,0.08250929487796554,4.831300823395196,True
ridge_teacher_binary,1,0,8,2,4,8,1,8,2.0,0.5961500205091372,0.6786579150706191,0.08250789456148189,0.08250789456148189,4.831241556248162,True
ridge_teacher_binary,1,0,8,3,4,7,1,7,2.0,0.5961500274930858,0.6786806990081851,0.0825306715150993,0.0825306715150993,4.832206156606643,True
ridge_teacher_binary,1,0,8,4,4,8,1,8,2.0,0.59615002092132,0.6786683204165745,0.08251829949525458,0.08251829949525458,4.831682116051917,True
ridge_teacher_binary,1,0,8,5,4,8,1,8,2.0,0.5961500294008313,0.6745934937269502,0.07844346432611893,0.07844346432611893,4.832911347526768,True
ridge_teacher_binary,1,0,8,6,4,8,1,8,2.0,0.5961500280580335,0.674562902097665,0.07841287403963149,0.07841287403963149,4.831588830884429,True
ridge_teacher_binary,1,0,8,7,4,7,1,7,2.0,0.5961500208734382,0.6786558035497011,0.08250578267626296,0.08250578267626296,4.831152148782486,True
ridge_teacher_binary,1,0,16,0,4,12,12,0,0.0,0.5961500213894709,0.5961500213894709,0.0,0.0,2.415395551949151,True
ridge_teacher_binary,1,0,16,1,4,11,11,0,0.0,0.5961500244256429,0.5961500244256429,0.0,0.0,2.416015025830042,True
ridge_teacher_binary,1,0,16,2,4,10,10,0,0.0,0.5961500204346883,0.5961500204346883,0.0,0.0,2.4155714586041412,True
ridge_teacher_binary,1,0,16,3,4,13,6,8,0.0,0.596150019835984,0.596150019835984,0.0,0.0,2.415685327538216,True
ridge_teacher_binary,1,0,16,4,4,9,9,0,0.0,0.5961500318299708,0.5961500318299708,0.0,0.0,2.415396510358406,True
ridge_teacher_binary,1,0,16,5,4,13,6,8,0.0,0.596150020019264,0.596150020019264,0.0,0.0,2.4155957135188224,True
ridge_teacher_binary,1,0,16,6,4,11,11,0,0.0,0.5961500227742677,0.5961500227742677,0.0,0.0,2.4153976395187353,True
ridge_teacher_binary,1,0,16,7,4,12,12,0,0.0,0.596150023884468,0.596150023884468,0.0,0.0,2.4158840817885503,True
ridge_teacher_binary,1,0,32,0,4,19,19,0,0.0,0.596150024837144,0.596150024837144,0.0,0.0,1.208050243371332,True
ridge_teacher_binary,1,0,32,1,4,19,19,0,0.0,0.5961500210034688,0.5961500210034688,0.0,0.0,1.2079622666344154,True
ridge_teacher_binary,1,0,32,2,4,17,17,0,0.0,0.5961500259638819,0.5961500259638819,0.0,0.0,1.2081845101736461,True
ridge_teacher_binary,1,0,32,3,4,19,19,0,0.0,0.5961500197637692,0.5961500197637692,0.0,0.0,1.2078710408075028,True
ridge_teacher_binary,1,0,32,4,4,18,18,0,0.0,0.5961500250692892,0.5961500250692892,0.0,0.0,1.20756718720548,True
ridge_teacher_binary,1,0,32,5,4,18,18,0,0.0,0.5961500230317377,0.5961500230317377,0.0,0.0,1.2081070855777083,True
ridge_teacher_binary,1,0,32,6,4,21,21,0,0.0,0.596150021887244,0.596150021887244,0.0,0.0,1.2079190790058736,True
ridge_teacher_binary,1,0,32,7,4,18,18,0,0.0,0.5961500254417919,0.5961500254417919,0.0,0.0,1.2080963489154075,True
ridge_teacher_binary,1,0,64,0,4,26,26,0,0.0,0.5961500197808037,0.5961500197808037,0.0,0.0,0.6039359662155277,True
ridge_teacher_binary,1,0,64,1,4,24,24,0,0.0,0.5961500198902414,0.5961500198902414,0.0,0.0,0.6039161339602216,True
ridge_teacher_binary,1,0,64,2,4,26,26,0,0.0,0.5961500200901916,0.5961500200901916,0.0,0.0,0.6039375298271787,True
ridge_teacher_binary,1,0,64,3,4,27,27,0,0.0,0.5961500199659248,0.5961500199659248,0.0,0.0,0.6039372578647824,True
ridge_teacher_binary,1,0,64,4,4,28,28,0,0.0,0.5961500201380521,0.5961500201380521,0.0,0.0,0.603936667465403,True
ridge_teacher_binary,1,0,64,5,4,23,23,0,0.0,0.5961500227101915,0.5961500227101915,0.0,0.0,0.6040077036990759,True
ridge_teacher_binary,1,0,64,6,4,25,25,0,0.0,0.5961500206488537,0.5961500206488537,0.0,0.0,0.6038703320501126,True
