dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher_binary,1,0,8,0,21261623,0.5961500268407957,0.5896165711709157,0.006533455669879913,3.2667278349399567,7,1.0,416,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,1,21261624,0.596150019921962,0.5896149167797006,0.006535103142261505,3.2675515711307526,7,1.0,495,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,2,21261625,0.5961500205091372,0.5896149975351229,0.006535022974014282,3.267511487007141,8,1.0,457,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,3,21261626,0.5961500274930858,0.589613699743595,0.006536327749490738,3.268163874745369,7,1.0,427,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,4,21261627,0.59615002092132,0.5896144020200672,0.006535618901252747,3.2678094506263733,8,1.0,468,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,5,21261628,0.5961500294008313,0.5896127477684079,0.006537281632423401,3.2686408162117004,8,1.0,431,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,6,21261629,0.5961500280580335,0.5896145353398138,0.0065354927182197575,3.2677463591098785,8,1.0,452,patience,0.6931471805599453
ridge_teacher_binary,1,0,8,7,21261630,0.5961500208734382,0.5896151188372482,0.006534902036190033,3.2674510180950165,7,1.0,466,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,0,21262431,0.5961500213894709,0.5896156077239378,0.006534413665533066,3.267206832766533,12,1.0,478,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,1,21262432,0.5961500244256429,0.589613934886115,0.006536089539527893,3.2680447697639465,11,1.0,478,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,2,21262433,0.5961500204346883,0.5896151308856714,0.006534889549016953,3.2674447745084763,10,1.0,506,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,3,21262434,0.596150019835984,0.5896148222352617,0.0065351976007223134,3.2675988003611565,13,1.0,490,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,4,21262435,0.5961500318299708,0.5896156155716358,0.006534416258335114,3.2672081291675568,9,1.0,445,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,5,21262436,0.596150020019264,0.5896150648529838,0.006534955166280269,3.267477583140135,13,1.0,489,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,6,21262437,0.5961500227742677,0.5896156034611945,0.006534419313073158,3.267209656536579,11,1.0,520,patience,0.6931471805599453
ridge_teacher_binary,1,0,16,7,21262438,0.596150023884468,0.5896142885902452,0.006535735294222832,3.267867647111416,12,1.0,454,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,0,21264047,0.596150024837144,0.5896137040986495,0.006536320738494397,3.268160369247198,19,1.0,454,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,1,21264048,0.5961500210034688,0.5896141762751181,0.006535844728350639,3.2679223641753197,19,1.0,459,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,2,21264049,0.5961500259638819,0.5896129787565264,0.0065370472073555,3.2685236036777496,17,1.0,438,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,3,21264050,0.5961500197637692,0.5896146686252073,0.006535351138561964,3.267675569280982,19,1.0,535,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,4,21264051,0.5961500250692892,0.5896163179721164,0.0065337070971727374,3.2668535485863686,18,1.0,465,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,5,21264052,0.5961500230317377,0.5896133947407268,0.006536628291010857,3.2683141455054283,18,1.0,428,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,6,21264053,0.596150021887244,0.5896144108314526,0.006535611055791378,3.267805527895689,21,1.0,433,patience,0.6931471805599453
ridge_teacher_binary,1,0,32,7,21264054,0.5961500254417919,0.5896134552429579,0.006536570198833943,3.268285099416971,18,1.0,483,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,0,21267279,0.5961500197808037,0.5896146638179909,0.006535355962812901,3.2676779814064503,26,1.0,463,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,1,21267280,0.5961500198902414,0.5896148785376774,0.006535141352564096,3.2675706762820482,24,1.0,454,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,2,21267281,0.5961500200901916,0.5896146472071101,0.006535372883081436,3.267686441540718,26,1.0,428,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,3,21267282,0.5961500199659248,0.5896146500258227,0.0065353699401021,3.26768497005105,27,1.0,480,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,4,21267283,0.5961500201380521,0.5896146565868229,0.006535363551229238,3.2676817756146193,28,1.0,454,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,5,21267284,0.5961500227101915,0.589613890456485,0.006536132253706455,3.2680661268532276,23,1.0,458,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,6,21267285,0.5961500206488537,0.5896153749312627,0.006534645717591048,3.2673228587955236,25,1.0,425,patience,0.6931471805599453
ridge_teacher_binary,1,0,64,7,21267286,0.5961500253991147,0.5896160885409375,0.006533936858177185,3.2669684290885925,25,1.0,419,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,0,21273743,0.5961500201415612,0.5896146419462157,0.006535378195345402,3.267689097672701,37,1.0,436,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,1,21273744,0.5961500219227116,0.5896141682313125,0.006535853691399097,3.2679268456995487,32,1.0,444,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,2,21273745,0.5961500234811437,0.5896134747958612,0.006536548685282469,3.2682743426412344,36,1.0,402,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,3,21273746,0.5961500197744718,0.5896146435535302,0.0065353762209415436,3.267688110470772,33,1.0,452,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,4,21273747,0.596150019840145,0.5896148809276461,0.006535138912498951,3.2675694562494755,29,1.0,457,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,5,21273748,0.5961500214214921,0.5896154777507782,0.006534543670713901,3.2672718353569508,34,1.0,417,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,6,21273749,0.5961500236324809,0.5896160779192887,0.006533945713192224,3.2669728565961123,36,1.0,414,patience,0.6931471805599453
ridge_teacher_binary,1,0,128,7,21273750,0.5961500198742231,0.589614654259183,0.006535365615040064,3.267682807520032,35,1.0,446,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,0,21271630,0.5961500197652175,0.5896146591606929,0.006535360604524612,3.267680302262306,8,1.0,543,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,1,21271631,0.5961500215236407,0.5896141684357387,0.00653585308790207,3.2679265439510345,8,1.0,438,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,2,21271632,0.5961500272252354,0.5896160977580341,0.006533929467201233,3.2669647336006165,6,1.0,521,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,3,21271633,0.5961500228510093,0.5896138107345293,0.006536212116479874,3.268106058239937,7,1.0,496,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,4,21271634,0.5961500287323036,0.589613170650486,0.006536858081817627,3.2684290409088135,6,1.0,517,patience,0.6931471805599453
