dataset,input_dim,replicate,width,level_type,threshold,optimization_proxy,eligible_models,pair_index,model_left,model_right,endpoint_left,endpoint_right,sampled_path_max,certified_path_upper,certificate_width,sampled_gap,certified_gap_upper,direct_sampled_max,direct_certified_upper,direct_certificate_width,direct_certified_gap_upper,proof_node_max,proof_certified_upper,proof_certificate_width,proof_certified_gap_upper,proof_path_nodes,proof_bridge_width,proof_reference_objective,certified_below_level,unresolved_segments,trained_midpoints,path_nodes
ridge_teacher_binary,1,0,8,fixed,0.5961500282892952,0.5961500197619644,8,0,0,1,0.5961500268407957,0.596150019921962,0.5961574937854662,0.5961609717419285,3.4779564622722248e-06,7.4654961710329815e-06,1.0943452633305206e-05,0.5984372406720423,0.5993531691282211,0.0009159284561788272,0.003203140838925922,0.6786593147999276,0.6786593147999276,0.0,0.08250928651063238,11,4,0.596150019925957,False,5,7,72
ridge_teacher_binary,1,0,8,fixed,0.5961500282892952,0.5961500197619644,8,1,2,3,0.5961500205091372,0.5961500274930858,0.5961579448326182,0.5961716463316309,1.3701499012697127e-05,7.916543322994407e-06,2.1618042335691534e-05,0.6190492558084666,0.6218646236993617,0.002815367890895093,0.025714595410066488,0.6786806990081851,0.6786806990081851,0.0,0.08253067071888986,11,4,0.596150019925957,False,68,14,117
ridge_teacher_binary,1,0,8,fixed,0.5961500282892952,0.5961500197619644,8,2,4,5,0.59615002092132,0.5961500294008313,0.5961563338202458,0.5961698923376038,1.3558517357958877e-05,6.305530950601046e-06,1.9864048308559923e-05,0.6213177242094731,0.6233237496475673,0.00200602543809425,0.027173721358272118,0.6786683204165745,0.6786683204165745,0.0,0.08251829212727935,11,4,0.596150019925957,False,92,9,101
ridge_teacher_binary,1,0,8,moving,0.6010513190066379,0.5961500197619644,8,0,1,2,0.596150019921962,0.5961500205091372,0.6009608498820923,0.6010563211859505,9.547130385823e-05,0.0,5.002179312652011e-06,0.6210457615746148,0.6234393404067176,0.002393578832102783,0.022388021400079672,0.5961500218374359,0.5961500218374359,0.0,0.0,23,2,0.5961500218374359,True,0,6,11
ridge_teacher_binary,1,0,8,moving,0.6010513190066379,0.5961500197619644,8,1,0,4,0.5961500268407957,0.59615002092132,0.6008322284915719,0.6009850304110713,0.00015280191949940125,0.0,0.0,0.6026628612992341,0.604160679455827,0.0014978181565928894,0.0031093604491890803,0.5961500268407957,0.5961500268407957,0.0,0.0,29,2,0.5961500218374359,True,0,2,6
ridge_teacher_binary,1,0,8,moving,0.6010513190066379,0.5961500197619644,8,2,5,3,0.5961500294008313,0.5961500274930858,0.6010540876278491,0.6010607736818943,6.686054045190737e-06,2.7686212111799335e-06,9.45467525637067e-06,0.6395834964586634,0.6424993312668772,0.0029158348082137797,0.04144801226023931,0.5961500294008313,0.5961500294008313,0.0,0.0,29,2,0.5961500218374359,True,0,11,30
ridge_teacher_binary,1,0,16,fixed,0.5961500282892952,0.5961500197619644,8,0,7,0,0.596150023884468,0.5961500213894709,0.5961599851102245,0.5961790972635018,1.9112153277323074e-05,9.956820929302168e-06,2.9068974206625242e-05,0.6244498165137374,0.627872059096602,0.0034222425828646097,0.031722030807306845,0.596150023884468,0.596150023884468,0.0,0.0,68,4,0.596150019925957,False,90,15,129
ridge_teacher_binary,1,0,16,fixed,0.5961500282892952,0.5961500197619644,8,1,5,2,0.596150020019264,0.5961500204346883,0.5961583516641998,0.5961789353616737,2.0583697473819385e-05,8.323374904639635e-06,2.890707237845902e-05,0.6257075407018384,0.6292695355175942,0.003561994815755809,0.03311950722829904,0.5961500204346883,0.5961500204346883,0.0,0.0,55,4,0.596150019925957,False,94,16,129
ridge_teacher_binary,1,0,16,fixed,0.5961500282892952,0.5961500197619644,8,2,3,1,0.596150019835984,0.5961500244256429,0.5961587184623568,0.596185664286877,2.694582452023031e-05,8.690173061598472e-06,3.563599758182878e-05,0.634973274980516,0.6382844241672601,0.0033111491867440224,0.04213439587796486,0.5961500244256429,0.5961500244256429,0.0,0.0,58,4,0.596150019925957,False,88,16,117
ridge_teacher_binary,1,0,16,moving,0.599615762526353,0.5961500197619644,8,0,3,6,0.596150019835984,0.5961500227742677,0.5995694521896914,0.5996210951851272,5.164299543580775e-05,0.0,5.332658774226395e-06,0.6530733633938022,0.6572612949723948,0.004187931578592652,0.05764553244604187,0.5961500227742677,0.5961500227742677,0.0,0.0,65,2,0.5961500218374359,True,0,9,27
