dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher,1,0,8,0,4,5,3,3,0.0,0.11745108767036286,0.11745108767036286,0.0,0.0,0.5743711881683498,True
ridge_teacher,1,0,8,1,4,6,4,3,0.0,0.11745108876723992,0.11745108876723992,0.0,0.0,0.5742929428656361,True
ridge_teacher,1,0,8,2,4,7,1,7,2.0,0.11745108781352237,0.16839663278975453,0.05094554497623216,0.05094554497623216,0.5743378724305395,True
ridge_teacher,1,0,8,3,4,5,3,3,0.0,0.11745108858585714,0.11745108858585714,0.0,0.0,0.5743863657356039,True
ridge_teacher,1,0,8,4,4,5,3,3,0.0,0.11745109071138325,0.11745109071138322,-2.7755575615628914e-17,0.0,0.5742433093840443,True
ridge_teacher,1,0,8,5,4,7,1,7,2.0,0.1174510881811868,0.15131798806818944,0.033866899887002644,0.033866899887002644,0.5742983022461254,True
ridge_teacher,1,0,8,6,4,7,1,7,2.0,0.11745108822951812,0.15133953409209444,0.03388844586257632,0.03388844586257632,0.5744224327689479,True
ridge_teacher,1,0,8,7,4,5,3,3,0.0,0.11745108767469091,0.11745108767469091,0.0,0.0,0.5743694751495089,True
ridge_teacher,1,0,16,0,4,10,10,0,0.0,0.1174510881681033,0.1174510881681033,0.0,0.0,0.287209781524641,True
ridge_teacher,1,0,16,1,4,8,8,0,0.0,0.11745108834114894,0.11745108834114894,0.0,0.0,0.28714910774678176,True
ridge_teacher,1,0,16,2,4,6,6,0,0.0,0.11745108775077581,0.11745108775077581,0.0,0.0,0.2871802305726113,True
ridge_teacher,1,0,16,3,4,7,7,0,0.0,0.1174510877476016,0.1174510877476016,0.0,0.0,0.28717671365129327,True
ridge_teacher,1,0,16,4,4,8,8,0,0.0,0.11745108967964961,0.11745108967964961,0.0,0.0,0.28722622320065383,True
ridge_teacher,1,0,16,5,4,8,8,0,0.0,0.11745108779771556,0.11745108779771556,0.0,0.0,0.28716561207742264,True
ridge_teacher,1,0,16,6,4,8,8,0,0.0,0.1174510925538308,0.1174510925538308,0.0,0.0,0.28713264541539707,True
ridge_teacher,1,0,16,7,4,8,8,0,0.0,0.11745108770255612,0.11745108770255612,0.0,0.0,0.28718356021855757,True
ridge_teacher,1,0,32,0,4,11,11,0,0.0,0.11745108828919631,0.11745108828919631,0.0,0.0,0.14357907258024483,True
ridge_teacher,1,0,32,1,4,12,12,0,0.0,0.11745108794246498,0.11745108794246498,0.0,0.0,0.14358284493966167,True
ridge_teacher,1,0,32,2,4,13,13,0,0.0,0.11745108815479453,0.11745108815479453,0.0,0.0,0.14357734097156927,True
ridge_teacher,1,0,32,3,4,12,12,0,0.0,0.11745108766602436,0.11745108766602436,0.0,0.0,0.1435911059695792,True
ridge_teacher,1,0,32,4,4,12,12,0,0.0,0.1174510878642361,0.1174510878642361,0.0,0.0,0.14358420578441206,True
ridge_teacher,1,0,32,5,4,12,12,0,0.0,0.11745108785555419,0.11745108785555419,0.0,0.0,0.14359355853679726,True
ridge_teacher,1,0,32,6,4,15,15,0,0.0,0.11745108774080874,0.11745108774080874,0.0,0.0,0.14359248652299691,True
ridge_teacher,1,0,32,7,4,11,11,0,0.0,0.11745108766673101,0.11745108766673101,0.0,0.0,0.14359009084411556,True
ridge_teacher,1,0,64,0,4,16,16,0,0.0,0.11745108801690611,0.11745108801690611,0.0,0.0,0.07180241061128426,True
ridge_teacher,1,0,64,1,4,17,17,0,0.0,0.11745108767989276,0.11745108767989276,0.0,0.0,0.07179505747102471,True
ridge_teacher,1,0,64,2,4,18,18,0,0.0,0.11745108965916592,0.11745108965916592,0.0,0.0,0.07179916186554446,True
ridge_teacher,1,0,64,3,4,20,20,0,0.0,0.11745108769610013,0.11745108769610013,0.0,0.0,0.07179726914496827,True
ridge_teacher,1,0,64,4,4,20,20,0,0.0,0.11745108768922988,0.11745108768922988,0.0,0.0,0.07179641732603853,True
ridge_teacher,1,0,64,5,4,18,18,0,0.0,0.1174510878569165,0.1174510878569165,0.0,0.0,0.07179361916862978,True
ridge_teacher,1,0,64,6,4,19,19,0,0.0,0.11745108767701513,0.11745108767701513,0.0,0.0,0.07179641435682882,True
ridge_teacher,1,0,64,7,4,13,13,0,0.0,0.11745108983447734,0.11745108983447734,0.0,0.0,0.07178263705165983,True
ridge_teacher,1,0,128,0,4,26,26,0,0.0,0.11745108796376973,0.11745108796376973,0.0,0.0,0.03589637401416047,True
ridge_teacher,1,0,128,1,4,24,24,0,0.0,0.11745108770211266,0.11745108770211266,0.0,0.0,0.03589774445505238,True
ridge_teacher,1,0,128,2,4,22,22,0,0.0,0.11745108899290312,0.11745108899290312,0.0,0.0,0.03589984885015826,True
ridge_teacher,1,0,128,3,4,28,28,0,0.0,0.11745108766837477,0.11745108766837477,0.0,0.0,0.03589810351426681,True
ridge_teacher,1,0,128,4,4,23,23,0,0.0,0.11745108773963575,0.11745108773963575,0.0,0.0,0.0358991382193017,True
ridge_teacher,1,0,128,5,4,26,26,0,0.0,0.11745108766563117,0.11745108766563117,0.0,0.0,0.03589777169432404,True
ridge_teacher,1,0,128,6,4,24,24,0,0.0,0.1174510881811519,0.1174510881811519,0.0,0.0,0.035893788876032194,True
ridge_teacher,1,0,128,7,4,23,23,0,0.0,0.11745108788460433,0.11745108788460433,0.0,0.0,0.03590028140807095,True
ridge_teacher,1,1,8,0,4,6,3,4,0.0,0.1174510885745132,0.1174510885745132,0.0,0.0,0.57427592834731,True
ridge_teacher,1,1,8,1,4,7,1,7,2.0,0.11745108801458191,0.16841100816648347,0.05095992015190155,0.05095992015190155,0.5744190783365554,True
ridge_teacher,1,1,8,2,4,6,2,5,0.0,0.11745108766496444,0.11745108766496444,0.0,0.0,0.574363488534227,True
ridge_teacher,1,1,8,3,4,5,3,3,0.0,0.11745108790008528,0.11745108790008528,0.0,0.0,0.5744083595755768,True
ridge_teacher,1,1,8,4,4,5,3,3,0.0,0.1174510889493215,0.1174510889493215,0.0,0.0,0.5744470374479259,True
ridge_teacher,1,1,8,5,4,6,4,3,0.0,0.11745108807760919,0.11745108807760919,0.0,0.0,0.5743094065740456,True
ridge_teacher,1,1,8,6,4,6,3,4,0.0,0.11745108788365666,0.11745108788365666,0.0,0.0,0.5743877703008914,True
ridge_teacher,1,1,8,7,4,8,1,8,2.0,0.11745108776309493,0.16840520750744797,0.050954119744353044,0.050954119744353044,0.5743863106546122,True
ridge_teacher,1,1,16,0,4,8,8,0,0.0,0.11745108796720352,0.11745108796720352,0.0,0.0,0.2871654192939518,True
ridge_teacher,1,1,16,1,4,7,7,0,0.0,0.11745108779433036,0.11745108779433036,0.0,0.0,0.2871654798830426,True
ridge_teacher,1,1,16,2,4,9,9,0,0.0,0.1174510878343952,0.1174510878343952,0.0,0.0,0.28717671227426844,True
ridge_teacher,1,1,16,3,4,7,7,0,0.0,0.11745108780726111,0.11745108780726111,0.0,0.0,0.28717189957262146,True
ridge_teacher,1,1,16,4,4,10,10,0,0.0,0.11745108792153432,0.11745108792153432,0.0,0.0,0.28717262251063713,True
ridge_teacher,1,1,16,5,4,9,9,0,0.0,0.11745108768394368,0.11745108768394368,0.0,0.0,0.28717992074203313,True
ridge_teacher,1,1,16,6,4,8,8,0,0.0,0.11745108767208211,0.11745108767208211,0.0,0.0,0.2871800956241817,True
ridge_teacher,1,1,16,7,4,8,8,0,0.0,0.1174510876701453,0.1174510876701453,0.0,0.0,0.28718017273756996,True
ridge_teacher,1,1,32,0,4,10,10,0,0.0,0.11745108769428264,0.11745108769428264,0.0,0.0,0.14358732749961484,True
