dataset,input_dim,replicate,width,models,objective_min,objective_median,objective_q90,active_support_median,l1_norm_median,max_first_layer_norm
ridge_teacher,4,0,8,8,0.010835584810106493,0.010899107030344694,0.01098828190794902,8.0,4.806255586445332,1.0
ridge_teacher,4,0,16,8,0.010758794272445915,0.010794284763914586,0.010847234364932437,14.0,4.810155592858791,1.0
ridge_teacher,4,0,32,8,0.010729670975793228,0.010756977085740655,0.010787720643713259,22.5,4.822242887690663,1.0000000000000002
ridge_teacher,4,0,64,8,0.010739517160290847,0.010750388589125654,0.010764469081065865,32.0,4.82155244378373,1.0000000000000002
ridge_teacher,4,0,128,8,0.01073358672657905,0.010752637553868828,0.010772643900249698,39.5,4.82760352268815,1.0
ridge_teacher,4,1,8,8,0.010872660692279792,0.010913638717928376,0.010991456250684421,8.0,4.80525765568018,1.0
ridge_teacher,4,1,16,8,0.010739974505286794,0.010788540852872792,0.01081177856490062,15.0,4.818333461880684,1.0000000000000002
ridge_teacher,4,1,32,8,0.010734650664881565,0.010759974335577321,0.010802094597549897,22.5,4.819980815518647,1.0000000000000002
ridge_teacher,4,1,64,8,0.010730111513803476,0.010751421396100747,0.010776860582125356,32.5,4.825215294025838,1.0000000000000002
ridge_teacher,4,1,128,8,0.010736727823458567,0.0107544654727876,0.010779142711324725,41.5,4.82222718372941,1.0000000000000002
ridge_teacher,4,2,8,8,0.010838083840720941,0.010960999286170838,0.011991712861833925,8.0,4.8047294318675995,1.0
ridge_teacher,4,2,16,8,0.010791066919337716,0.010819008838798834,0.010841017006138707,13.5,4.8179743476212025,1.0
ridge_teacher,4,2,32,8,0.010731731766906345,0.010763294943708705,0.010768563924047923,22.0,4.819638518616557,1.0000000000000002
ridge_teacher,4,2,64,8,0.010722842744872446,0.010735755165398618,0.010758568365127886,31.5,4.82202074630186,1.0000000000000002
ridge_teacher,4,2,128,8,0.01072294092143901,0.010755305203903269,0.01077515747217558,41.0,4.8241771892644465,1.0000000000000002
ridge_teacher,4,3,8,8,0.010856435645033117,0.010894218693979399,0.01093326110654504,8.0,4.805265963077545,1.0
ridge_teacher,4,3,16,8,0.010759148146259851,0.010774734498164495,0.010855912968397823,15.0,4.815475686453283,1.0
ridge_teacher,4,3,32,8,0.01073106715276735,0.010758925373307086,0.010781789377077963,22.5,4.826006608083844,1.0000000000000002
ridge_teacher,4,3,64,8,0.010735594975841709,0.010749863137314346,0.010765708392393757,29.0,4.8254443681798875,1.0000000000000002
ridge_teacher,4,3,128,8,0.010738137882446047,0.010758372754961686,0.01078105464299934,39.5,4.824779879767448,1.0000000000000002
ridge_teacher,4,4,8,8,0.010856516887170806,0.010959792991745154,0.011291650766453182,8.0,4.806191172450781,1.0
ridge_teacher,4,4,16,8,0.010754620779535479,0.010786218708528195,0.010831523184635263,14.5,4.813877960201353,1.0000000000000002
ridge_teacher,4,4,32,8,0.01072490892203315,0.010746701299561727,0.010771805739170215,22.5,4.821674358099699,1.0000000000000002
ridge_teacher,4,4,64,8,0.01072097372914641,0.01074918673499723,0.010765943111674637,30.0,4.825681535992771,1.0
ridge_teacher,4,4,128,8,0.010739388986334052,0.010751533812386816,0.010775667204369567,39.5,4.829331043642014,1.0000000000000002
ridge_teacher,4,5,8,8,0.010845998910257847,0.011127299139198767,0.011990812838476273,8.0,4.777548022568226,1.0000000000000002
ridge_teacher,4,5,16,8,0.01076870299396234,0.010785184837448163,0.01082003481097569,15.0,4.809536937624216,1.0000000000000002
ridge_teacher,4,5,32,8,0.010721955062073976,0.010746320461737,0.010768370993930795,22.0,4.824857737869024,1.0000000000000002
ridge_teacher,4,5,64,8,0.010731156964812716,0.010754363995519347,0.010773868254820625,30.0,4.823396980762482,1.0000000000000002
ridge_teacher,4,5,128,8,0.010727228457453015,0.010759088344712259,0.010764076352522389,40.0,4.827286215964705,1.0000000000000002
ridge_teacher,4,6,8,8,0.01084497766824463,0.010881619946447214,0.010969222081952182,8.0,4.801680102944374,1.0
ridge_teacher,4,6,16,8,0.01077152133517355,0.010804571785471515,0.010857869357652416,14.0,4.811778459697962,1.0000000000000002
ridge_teacher,4,6,32,8,0.01072835209706825,0.010756762670511993,0.010778263757782137,21.5,4.8268714081496,1.0000000000000002
ridge_teacher,4,6,64,8,0.010738173073161604,0.010763745069615655,0.010805338903682163,30.0,4.8256174004636705,1.0
ridge_teacher,4,6,128,8,0.010735382050548798,0.010763904181635652,0.010790266044994204,40.0,4.823178202379495,1.0000000000000002
ridge_teacher,4,7,8,8,0.010866559424394094,0.010980635494679765,0.011998192034350642,8.0,4.792223133146763,1.0
ridge_teacher,4,7,16,8,0.010745826459352613,0.01079025407728571,0.01085096227409604,14.5,4.812502795830369,1.0
ridge_teacher,4,7,32,8,0.01073429959041298,0.010750681272953394,0.010770906854846751,23.5,4.821992441080511,1.0000000000000002
ridge_teacher,4,7,64,8,0.010725944011451534,0.010747596594459376,0.010762248255090204,31.0,4.818737666122615,1.0000000000000002
ridge_teacher,4,7,128,8,0.010729283082512017,0.010748842406163665,0.01076386568857449,39.0,4.827675687149167,1.0000000000000002
ridge_teacher,4,8,8,8,0.010840637264579855,0.0109207152284078,0.011286644742045797,8.0,4.805376946926117,1.0
ridge_teacher,4,8,16,8,0.010768191486908716,0.01081482529633744,0.010855813987014079,14.0,4.8142360132187605,1.0
ridge_teacher,4,8,32,8,0.01074618589916525,0.010759372935414614,0.010781597105576624,23.0,4.820286009926349,1.0000000000000002
ridge_teacher,4,8,64,8,0.010727238707196406,0.010748851339275672,0.01076340617403542,33.0,4.820927916560322,1.0000000000000002
ridge_teacher,4,8,128,8,0.010725960371834913,0.010741867218300425,0.01076368971462064,38.5,4.826996033079922,1.0000000000000002
ridge_teacher,4,9,8,8,0.010861189265950534,0.010919026660122955,0.01177170441379014,8.0,4.802488207817078,1.0000000000000002
